pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,,cid,uniquecid,Goal scope,rep-id,circumstance,Situation that occurred ,Repeating for another goal,Life Event?,Pre-existing?,Duplicate?,how-long,frequency,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal,change,Goal changes,,,,,,
S01,S01,goal4,S01goal4,,circ1,Make my children proud of me,Social connection,,circ1,S01goal4circ1,Aspirational,r1,I feel hopeless in battling my son's injury,Internal - Feelings and thoughts,Yes,Yes,No,No,multiple days to a week,daily,It is causing me stress,,Emotional,,,I feel weak,I am persevering,No change,,,,,,
S01,S01,goal4,S01goal4,,circ2,Make my children proud of me,Social connection,,circ2,S01goal4circ2,Aspirational,,I feel weak against the enemy,Internal - Feelings and thoughts,No,No,No,No,multiple days to a week,daily,It is a constant worry that affects my overall well-being,,Emotional,,,"I am always worried about him harming them, but usually he wouldn't have the ability too. The injury changes that, despite it happening during his watch.",I have to be mindful to stay cognitively strong,Changed strategy,,,,,,
S01,S01,goal4,S01goal4,,circ3,Make my children proud of me,Social connection,,circ3,S01goal4circ3,Aspirational,,I am feeling pressure that my work is lagging this week,Work,No,No,No,No,longer than a year,daily,Financial pressure to provide for the household,,Financial,Emotional,,"If I can't feed them, it is not a proud moment",I will never change that goal,No change,,,,,,
S01,S01,goal4,S01goal4,,circ4,Make my children proud of me,Social connection,,circ4,S01goal4circ4,Aspirational,r3,I am worried about the storm,Weather,Yes,No,No,No,multiple days to a week,daily,Just another stress that I don't need,,Emotional,,,It distracts me from caring for their daily needs,I reached out to friends for advice to alleviate the pressure,Changed strategy,,,,,,
S01,S01,goal4,S01goal4,,circ5,Make my children proud of me,Social connection,,circ5,S01goal4circ5,Aspirational,r2,I can't take them anywhere fun because I can't afford to,Finances,Yes,No,Yes,No,longer than a year,daily,I feel sad as a mother that I can't do something special for my children this summer,,Emotional,,,I feel like a horrible mother,"I try to focus on the things they do have, like a beautiful home and wonderful community",Changed strategy,,,,,,
S01,S01,goal5,S01goal5,,circ1,Fight harder against the enemy,Mental health and wellbeing,,circ1,S01goal5circ1,Aspirational,,I feel scared to call/ I know I have to speak with the enemy,Social interactions - negative,No,No,No,No,longer than a year,daily,Fear is terrible for the nervous system and overall health/ The sound of the enemy's voice affects me in a very negative way,,Emotional,,,I hate that he has the power to instill fear,"I will call soon, to alleviate the fear",No change,,,,,,
S01,S01,goal5,S01goal5,,circ2,Fight harder against the enemy,Mental health and wellbeing,,circ2,S01goal5circ2,Aspirational,r1,"He caused my son's injury to happen, which brings up unhealthy anger",Social interactions - negative,Yes,Yes,No,No,multiple days to a week,daily,"Anger is unhealthy unless there is a positive resolution, which feels impossible with the enemy involved",,Emotional,,,"I am reminded that the enemy should have zero involvement with the children, but I am helpless against the system","It does give more power that he was the cause, rather than if it happened on my watch",No change,,,,,,
S02,S02,goal1,S02goal1,,circ1,strengthening friendships,Social connection,,circ1,S02goal1circ1,Aspirational,,friend lives far away,Resources,No,No,Yes,No,longer than a year,monthly,made me feel disconnected,,Emotional,,,,I accepted the fact that I will see this friend less and instead try to connect virtually,Changed strategy,,,,,,
S02,S02,goal1,S02goal1,"S02goal4, S02goal5",circ2,strengthening friendships,Social connection,,circ2,S02goal1circ2,Aspirational,,friend was too busy,Social interaction - other,No,No,No,No,multiple weeks to a month,every other week,felt disappointed,,Emotional,,,,I wait for friend to have more time/ I think of friendships being long-term and eventually our schedules should line up,Changed strategy,,,,,,
S02,S02,goal1,S02goal1,,circ3,strengthening friendships,Social connection,,circ3,S02goal1circ3,Aspirational,r4,I had too much homework,Work,Yes,No,No,No,multiple months to a year,weekly,increased stress,,Emotional,,,,I had to pause social outings,Paused,,,,,,
S02,S02,goal1,S02goal1,,circ4,strengthening friendships,Social connection,,circ4,S02goal1circ4,Aspirational,,I was too tired to meet with friend,Internal - Feelings and thoughts,No,No,No,No,multiple months to a year,monthly,feel guilty,,Emotional,,,,I realize that I need to rest to be a good friend,Changed strategy,,,,,,
S02,S02,goal2,S02goal2,,circ1,saving for a house,Housing,,circ1,S02goal2circ1,Long term,,spent money on other expenses,Finances,No,No,No,No,longer than a year,every 6 months,felt guilty,,Emotional,,,,I had to set my goal to take longer than I first expected,Changed time,,,,,,
S02,S02,goal3,S02goal3,"S02goal1, S02goal5",circ1,taking classes to help with a career change,Work/Career,,circ1,S02goal3circ1,Medium term,,work schedule,Work,No,No,No,No,No response,No response,,,No response,,,,,No response,,,,,,
S02,S02,goal4,S02goal4,,circ1,improving my diet,Nutrition,,circ1,S02goal4circ1,Medium term,,social outings requiring eating,Social interaction - other,No,No,No,No,No response,No response,,,No response,,,,,No response,,,,,,
S02,S02,goal4,S02goal4,,circ2,improving my diet,Nutrition,,circ2,S02goal4circ2,Medium term,,being around unhealthy food,Resources,No,No,No,No,No response,No response,,,No response,,,,,No response,,,,,,
S02,S02,goal4,S02goal4,,circ3,improving my diet,Nutrition,,circ3,S02goal4circ3,Medium term,,food cravings,Internal - Feelings and thoughts,No,No,No,No,No response,No response,,,No response,,,,,No response,,,,,,
S02,S02,goal5,S02goal5,,circ1,exercising more,Physical Activity,,circ1,S02goal5circ1,Medium term,,feeling lazy,Internal - Feelings and thoughts,No,No,No,No,No response,No response,,,No response,,,,,No response,,,,,,
S02,S02,goal5,S02goal5,,circ2,exercising more,Physical Activity,,circ2,S02goal5circ2,Medium term,,no time due to social obligations,Social interaction - other,No,No,No,No,No response,No response,,,No response,,,,,No response,,,,,,
S02,S02,goal5,S02goal5,,circ3,exercising more,Physical Activity,,circ3,S02goal5circ3,Medium term,r4,no time due to homework or work,Work,Yes,No,No,No,No response,No response,,,No response,,,,,No response,,,,,,
S03,S03,goal1,S03goal1,,circ1,Get my own place to live,Housing,,circ1,S03goal1circ1,Long term,r5,I have no I.D and my friend didn’t show up with the money after they said they’d help me,Social interactions - negative,Yes,No,No,No,multiple days to a week,weekly,Just created more stress for me honestly.,,Emotional,,,Makes me feel like I can’t count on anyone,I haven’t I’m just working on getting the money to get my id,Changed strategy,,,,,,
S03,S03,goal2,S03goal2,,circ1,Get a car,Shopping,,circ1,S03goal2circ1,Long term,r5,None of my friends actually have shown up to help me when they offered,Social interactions - negative,Yes,No,No,No,multiple days to a week,weekly,Just stresses me out and makes me realize I can’t count on anyone but myself,,Emotional,,,"I’ve had a lot of people offer to help me, I didn’t ask them, they offered and why offer something if you have no intentions of following through with if",I’m just gonna rely on myself,Changed strategy,,,,,,
S04,S04,goal1,S04goal1,,circ1,Excercising,Physical Activity,,circ1,S04goal1circ1,Medium term,r6,working,Work,Yes,No,No,No,more than an hour to half a day,weekly,making me time conscious/ I did things in a haste,,Emotional,,,stress from work,To get more time to commute to work,Skipped,,,,,,
S04,S04,goal1,S04goal1,,circ2,Excercising,Physical Activity,,circ2,S04goal1circ2,Medium term,,stress/ laziness,Internal - Feelings and thoughts,No,No,No,No,multiple weeks to a month,every other week,Became dull,,Emotional,,,I became tired,I do it on days I do not feel stressed,Rescheduled,,,,,,
S04,S04,goal1,S04goal1,,circ4,Excercising,Physical Activity,,circ3,S04goal1circ3,Medium term,,waking up late,Sleep,No,No,No,No,multiple days to a week,monthly,things were not properly done,,No response,,,my whole things were messed up,on days I woke up late I do not excercise,Skipped,,,,,,
S04,S04,goal2,S04goal2,,circ1,Meditating,Mental health and wellbeing,,circ1,S04goal2circ1,Medium term,r6,work,Work,Yes,No,No,No,multiple days to a week,monthly,became very fast/ not being time conscious,,Emotional,,,I became stressed,i lost track of time,Skipped,,,,,,
S04,S04,goal3,S04goal3,,circ2,Cooking,Nutrition,,circ1,S04goal3circ1,Medium term,,colleague being rude,Social interactions - negative,No,No,No,No,longer than a year,every 6 months,feeling stressed/ feeling bad,,Emotional,,,feeling less motivated,find the right ingredients,Changed strategy,,,,,,
S05,S05,goal1,S05goal1,,circ1,"get at a minimum of 10,000 steps a day",Physical Activity,,circ1,S05goal1circ1,Medium term,,long hours at work prevented me from reaching my goal steps,Work,No,Yes,No,No,multiple days to a week,weekly,i had to sit at my desk and get my work done. It stressed me out that i wouldn't reach my goal that day,,Emotional,Logistical,,,It just didn't happen that day,Skipped,,,,,,
S05,S05,goal1,S05goal1,,circ2,"get at a minimum of 10,000 steps a day",Physical Activity,,circ2,S05goal1circ2,Medium term,,Another day my foot heart so i couldn't get the steps in that i needed,Pain,No,No,No,No,more than half a day to a day,monthly,"I couldnt walk, so i couldn't get my steps in",,Physical,,,,It just didn't happen that day,Skipped,,,,,,
S05,S05,goal1,S05goal1,,circ3,"get at a minimum of 10,000 steps a day",Physical Activity,,circ3,S05goal1circ3,Medium term,,"I wanted to see a movie at the theater, so being i was watching a movie for three hours, i couldn't get my steps in",Entertainment,No,No,No,No,more than an hour to half a day,monthly,I was stressed that i didn't get my steps in and it made me feel lazy,,Emotional,,,,it just didn't get met that day,Skipped,,,,,,
S05,S05,goal1,S05goal1,,circ4,"get at a minimum of 10,000 steps a day",Physical Activity,,circ4,S05goal1circ4,Medium term,,"i just didn't feel good one day, so i took it easy and didn't get my steps in.",Internal - Feelings and thoughts,No,No,No,No,more than half a day to a day,monthly,"I felt like i needed to take it easy, so it stressed me out not being able to physically take the steps",,Emotional,,,,It just didn't happen,Skipped,,,,,,
S05,S05,goal1,S05goal1,,circ5,"get at a minimum of 10,000 steps a day",Physical Activity,,circ5,S05goal1circ5,Medium term,,"I flew on an airplane for an 8 hour trip, so i didn't get my steps in",Travel,No,No,No,No,more than half a day to a day,monthly,I just felt stressed i wasn;t going to reach my goal,,Emotional,,,,It just didn't happen,Skipped,,,,,,
S05,S05,goal2,S05goal2,,circ1,Set aside $400 a month to spend on social events,Recreation,,circ1,S05goal2circ1,Medium term,r7,I had unexpected bills come up that i had to use the money for,Finances,Yes,No,No,No,multiple days to a week,monthly,I was stressed out as i wasn't able to set aside my usual amount to spend and have fun that month,,Emotional,,,,It just didn't get met and i had to stay at home instead of going to parties,Abandoned,,,,,,
S05,S05,goal3,S05goal3,,circ1,Get at least 7 hours of sleep in each night,Sleep,,circ1,S05goal3circ1,Medium term,,There was a thunderstorm that kept me up,Weather,No,No,No,No,more than half a day to a day,monthly,I was sleepy the next day as i didnt get the sleep i needed.,,Emotional,,,,It just didn't happen,Skipped,,,,,,
S05,S05,goal4,S05goal4,,circ1,Go on at least 2 vacations a year,Recreation,,circ1,S05goal4circ1,Long term,r7,Other bills came up that i had to pay so money wasn't there for vacations,Finances,Yes,No,No,No,multiple days to a week,every 6 months,I felt bummed that i couldn't go on vacations,,Emotional,,,,It just didn't happebn,Abandoned,,,,,,
S05,S05,goal5,S05goal5,,circ1,Get a puppy this year,Other,,circ1,S05goal5circ1,Medium term,,Timing just wasn't right,Resources,No,No,No,No,multiple weeks to a month,every 6 months,"I felt upset that i wouldn't get a puppy, but i just have too much going on",,Emotional,,,,,Abandoned,,,,,,
S06,S06,goal1,S06goal1,,circ1,advancing my knowledge at my work place,Work/Career,,circ1,S06goal1circ1,Long term,r8,they pay check i just got ;(,Finances,Yes,No,No,No,multiple days to a week,every other week,it caused me to be emotionally stressed.. affecting other areas of my life,,Emotional,,,it was beneath my cost of living,i stayed focus on the long term goal.,No change,,,,,,
S06,S06,goal1,S06goal1,,circ2,advancing my knowledge at my work place,Work/Career,,circ2,S06goal1circ2,Long term,,taking on too many things at once,Work,No,No,No,No,more than half a day to a day,daily,it caused me physical exhaustion,,Physical,,,because it was actually counter productive. i tried to do too much in all causing me to achieve less,made a priority list,Changed strategy,,,,,,
S06,S06,goal1,S06goal1,,circ3,advancing my knowledge at my work place,Work/Career,,circ3,S06goal1circ3,Long term,,lacking patience,Internal - Feelings and thoughts,No,No,No,No,multiple days to a week,daily,because it causes me to make irrational and impulsive decisions,,Emotional,,,because i begin to wonder if i should look for another job and not focus on the goal,i tried to just focus on the long term goal and just focus on the moment,No change,,,,,,
S06,S06,goal1,S06goal1,,circ4,advancing my knowledge at my work place,Work/Career,,circ4,S06goal1circ4,Long term,,comparing my job to other possibilities,Internal - Feelings and thoughts,No,No,No,No,multiple days to a week,daily,"because it indeed can do nothing beneficial, just wondering",,Emotional,,,because it then distracts me from that goal,i again redirected my focus on what is presently in front of me,No change,,,,,,
S06,S06,goal1,S06goal1,,circ5,advancing my knowledge at my work place,Work/Career,,circ5,S06goal1circ5,Long term,r9,my ego,Internal - Feelings and thoughts,Yes,No,Yes,No,multiple days to a week,daily,because ego is the destructor of dreams,,Emotional,,,my ego is a distraction,i used my ego in a way that i could thrive off of it. saying i can manifefst this long term dream to be promoted at my job,Changed strategy,,,,,,
S06,S06,goal2,S06goal2,,circ1,getting closer to my God,Mental health and wellbeing,,circ1,S06goal2circ1,Aspirational,,social media,Entertainment,No,No,No,No,multiple days to a week,daily,it is un beneficial,,Emotional,,,it is a distraction,i started watching spiritual social media videos and made spiritual post,Changed strategy,,,,,,
S06,S06,goal2,S06goal2,,circ2,getting closer to my God,Mental health and wellbeing,,circ2,S06goal2circ2,Aspirational,,social pressure,Social interactions - negative,No,No,No,No,multiple weeks to a month,daily,i make poor decisions trying to please others,,Emotional,,,it draws me away from him,i had to eliminate some people from my life,Changed strategy,,,,,,
S06,S06,goal2,S06goal2,,circ3,getting closer to my God,Mental health and wellbeing,,circ3,S06goal2circ3,Aspirational,,instant gratification,Internal - Feelings and thoughts,No,No,No,No,more than an hour to half a day,daily,because most good things are worth waiting for,,Emotional,,,i would sacrifice my time doing other things other than in prayer,he is becoming the instant gratification,Changed strategy,,,,,,
S06,S06,goal2,S06goal2,,circ4,getting closer to my God,Mental health and wellbeing,,circ4,S06goal2circ4,Aspirational,r9,pride,Internal - Feelings and thoughts,Yes,No,Yes,No,an hour or less,daily,it blocks allowing others to hep me,,Emotional,,,i sometimes think im doing it on my own.. in reality he has brought me this far,i started taking pride in getting close to my God,Changed strategy,,,,,,
S06,S06,goal2,S06goal2,,circ5,getting closer to my God,Mental health and wellbeing,,circ5,S06goal2circ5,Aspirational,,temptation,Internal - Feelings and thoughts,No,No,No,No,an hour or less,daily,because sometimes temptation overcomes me,,Emotional,,,sin leads me away ffom building a good relationship,i had to draw close to him so that temptation does not entice me as much,Changed strategy,,,,,,
S06,S06,goal3,S06goal3,,circ1,Practicing patience,Mental health and wellbeing,,circ1,S06goal3circ1,Aspirational,,bad events [limiting] lack of prayer,Social interactions - negative,No,No,No,No,an hour or less,daily,because sometimes they consume me,,Emotional,,,life happens and sometimes i let it get the best of me// i become irritable,this actually gives me patience when i embrace and persevere/// prayer gives me patience so i prayed more,Changed strategy,,,,,,
S06,S06,goal3,S06goal3,,circ3,Practicing patience,Mental health and wellbeing,,circ2,S06goal3circ2,Aspirational,,financial struggles,Finances,No,No,Yes,No,an hour or less,daily,it causes stess,,Emotional,,,because its frustrating when your trying so hard and still struggling,i try to tell myself its temporary,Changed strategy,,,,,,
S06,S06,goal4,S06goal4,,circ1,being empathetic,Social connection,,circ1,S06goal4circ1,Aspirational,r9,pride,Internal - Feelings and thoughts,Yes,No,Yes,No,an hour or less,daily,because it closes me off,,Emotional,,,,i had to realize that i cant be empathetic with too much pride,Changed strategy,,,,,,
S06,S06,goal5,S06goal5,,circ1,saving 50 dollars a week for something my daughter wants,Social connection,,circ1,S06goal5circ1,Medium term,,bills,Finances,No,No,No,No,an hour or less,daily,because sometimes i cant afford things we need,,Financial,,,i had to sacrifice and put off my goal because of bills,,Changed time,,,,,,
S06,S06,goal5,S06goal5,,circ2,saving 50 dollars a week for something my daughter wants,Social connection,,circ2,S06goal5circ2,Medium term,r8,not making enough money,Finances,Yes,No,No,No,multiple days to a week,daily,it is stressfull and i feel like a failure to my family,,Emotional,,,i couldnt save the money for her sometimes,im trying to do more stuff outside of work to make extra money,Changed strategy,,,,,,
S07,S07,goal1,S07goal1,,circ1,Losing weight,Weight management,,circ1,S07goal1circ1,Long term,,My partner brought home pizza for dinner,Social interaction - other,No,No,No,No,more than an hour to half a day,daily,I was hoping to eat healthy food for dinner and when pizza was placed in front of me I ate a lot of pizza,,Emotional,,,,"I did not change my goal, but I was upset that I failed to eat healthy",Skipped,,,,,,
S07,S07,goal1,S07goal1,,circ2,Losing weight,Weight management,,circ2,S07goal1circ2,Long term,,I forgot to pack healthy lunch and got take out,Resources,No,No,No,No,an hour or less,daily,"I meant to pack a salad for lunch at work, instead of went to McDonalds and ate a very fattening meal.",,Logistical,,,,My goal was pushed to the side while I consumed a lot more calories than I had planned to,Skipped,,,,,,
S07,S07,goal1,S07goal1,,circ3,Losing weight,Weight management,,circ3,S07goal1circ3,Long term,,Coworker brought in a huge box of donuts,Social interaction - other,No,No,No,No,an hour or less,daily,Having donuts available to me made it hard for me to continue eating healthy,,Emotional,,,,"My goal remained the same, I had a small piece of donut and walked away",Skipped,,,,,,
S07,S07,goal1,S07goal1,,circ4,Losing weight,Weight management,,circ4,S07goal1circ4,Long term,,Someone made fun of my weight and made me feel bad about myself,Social interactions - negative,No,No,No,No,more than an hour to half a day,daily,My dad made a joke about how much weight I've gained recently and this really effected my mental health. It made me want to stop trying to better myself.,,Emotional,,,,I immediately went to get a snack because I felt lousy.,Skipped,,,,,,
S07,S07,goal1,S07goal1,,circ5,Losing weight,Weight management,,circ5,S07goal1circ5,Long term,,My clothes fit too tight,Internal - Feelings and thoughts,No,No,No,No,an hour or less,weekly,I tried on a pair of pants that fit me a few weeks ago and they were way too tight. I attributed it to me having no discipline and felt really bad about myself.,,Emotional,,,After I started to feel bad about myself I wanted to eat more fatty foods to comfort myself.,I temporarily forgot about my goal and went back to bad eating habits.,Paused,,,,,,
S08,S08,goal1,S08goal1,,circ1,save up enough money to move out,Housing,,circ1,S08goal1circ1,Long term,,things to pay for,Finances,No,No,No,No,multiple days to a week,monthly,felt guilty for spending instead of saving,,Emotional,Financial,,made it harder to save up,minimize purchases,Changed strategy,,,,,,
S08,S08,goal1,S08goal1,,circ3,save up enough money to move out,Housing,,circ2,S08goal1circ2,Long term,,"biweekly payments, having to stretch money more",Finances,No,No,Yes,No,multiple months to a year,monthly,stressful,,Emotional,,,,budgeting,Changed strategy,,,,,,
S08,S08,goal1,S08goal1,,circ4,save up enough money to move out,Housing,,circ3,S08goal1circ3,Long term,,not having enough money to save up,Finances,No,No,No,No,multiple weeks to a month,monthly,guilt,,Emotional,,,,trying to find more ways to make money,Changed strategy,,,,,,
S08,S08,goal1,S08goal1,,circ5,save up enough money to move out,Housing,,circ4,S08goal1circ4,Long term,,going out and spending money instead of saving it,Entertainment,No,No,No,No,multiple weeks to a month,monthly,didn't negatively impact,,No labor- positive disruption,,,,avoiding going out as much,Changed strategy,,,,,,
S08,S08,goal2,S08goal2,,circ3,read more,Education/Learning,,circ1,S08goal2circ1,Medium term,,being on my phone more often,Entertainment,No,No,No,No,multiple months to a year,monthly,stressed and overstimulated,,Emotional,,,,limiting phone time,Changed strategy,,,,,,
S08,S08,goal2,S08goal2,,circ4,read more,Education/Learning,,circ2,S08goal2circ2,Medium term,,lack of attention span,Internal - Feelings and thoughts,No,No,No,No,multiple months to a year,every 6 months,stressful and distracting,,Emotional,,,,trying to fix my attention span,Changed strategy,,,,,,
S08,S08,goal2,S08goal2,,circ5,read more,Education/Learning,,circ3,S08goal2circ3,Medium term,,being in a reading slump,Internal - Feelings and thoughts,No,No,Yes,No,multiple months to a year,monthly,sad,,Emotional,,,,trying to change up the books i read,Changed strategy,,,,,,
S08,S08,goal3,S08goal3,,circ1,graduate college,Education/Learning,,circ1,S08goal3circ1,Medium term,,struggling in classes,Work,No,No,No,No,multiple months to a year,monthly,depressed,,Emotional,,,,"going to office hours, talking to counselors, and studying more",Changed strategy,,,,,,
S08,S08,goal3,S08goal3,,circ3,graduate college,Education/Learning,,circ2,S08goal3circ2,Medium term,,money struggles,Finances,No,No,Yes,No,multiple days to a week,weekly,stressed,,Emotional,,,,working harder to fix money issues,Changed strategy,,,,,,
S08,S08,goal3,S08goal3,,circ4,graduate college,Education/Learning,,circ3,S08goal3circ3,Medium term,,mental health issues,Internal - Feelings and thoughts,No,No,Yes,No,multiple months to a year,monthly,depressed and anxious,,Emotional,,,,going to therapy,Changed strategy,,,,,,
S08,S08,goal4,S08goal4,,circ1,drink more water,Nutrition,,circ1,S08goal4circ1,Medium term,,forgetting to,Resources,No,No,No,No,multiple days to a week,weekly,anxious,,Emotional,,,,setting reminders,Changed strategy,,,,,,
S08,S08,goal4,S08goal4,,circ2,drink more water,Nutrition,,circ2,S08goal4circ2,Medium term,,laziness/ unmotivated,Internal - Feelings and thoughts,No,No,No,No,multiple days to a week,weekly,depressed,,Emotional,,,,telling myself the benefits of it,Changed strategy,,,,,,
S08,S08,goal4,S08goal4,,circ4,drink more water,Nutrition,,circ3,S08goal4circ3,Medium term,,wanting cold water but the water is warm,Resources,No,No,No,No,multiple days to a week,every other week,n/a,,No response,,,,making sure to put ice in my drink,Changed strategy,,,,,,
S08,S08,goal5,S08goal5,,circ3,spend less time on social media,Screentime management,,circ1,S08goal5circ1,Medium term,,FOMO,Internal - Feelings and thoughts,No,No,No,No,multiple days to a week,weekly,anxious,,Emotional,,,,telling myself that it's okay to miss out,Changed strategy,,,,,,
S08,S08,goal5,S08goal5,,circ5,spend less time on social media,Screentime management,,circ2,S08goal5circ2,Medium term,,boredom leading to wanting to use it,Internal - Feelings and thoughts,No,No,No,No,multiple months to a year,monthly,anxious,,Emotional,,,,finding other ways to satisfy boredom,Changed strategy,,,,,,
S09,S09,goal1,S09goal1,,circ1,Save for bigger house,Housing,,circ1,S09goal1circ1,Long term,,Buying gifts,Social interaction - other,No,No,No,No,longer than a year,monthly,Felt pressured to spend on family and friends but know we have to be saving our money,,Emotional,,,,Spent less on the gift and knew it still took away from out house,Changed strategy,,,,,,
S09,S09,goal1,S09goal1,,circ2,Save for bigger house,Housing,,circ2,S09goal1circ2,Long term,,Groceries are expensive,Finances,No,No,No,No,longer than a year,weekly,Stressing over what to buy and how much to spend,,Emotional,Financial,,We need healthy food and that isn’t cheap,We try to limit extra snack items but we still might need to save longer for house,Changed strategy,,,,,,
S09,S09,goal1,S09goal1,,circ3,Save for bigger house,Housing,,circ3,S09goal1circ3,Long term,r10,Bills going up,Finances,Yes,No,No,No,multiple months to a year,monthly,Worry about the price change and how we will afford it,,Financial,,,Now we have less to save,Less for saving and more for bills for the time being,Changed strategy,,,,,,
S09,S09,goal1,S09goal1,,circ4,Save for bigger house,Housing,,circ4,S09goal1circ4,Long term,,Unexpected expenses,Finances,No,No,No,No,multiple days to a week,every 6 months,You don’t expect them so they can be stressful and make you anxious,,Emotional,Financial,,Harder to save up when the money is going elsewhere,Less money is being saved right now,Changed strategy,,,,,,
S09,S09,goal1,S09goal1,,circ5,Save for bigger house,Housing,,circ5,S09goal1circ5,Long term,,Buying wants,Finances,No,No,No,No,an hour or less,every 6 months,Brought me temporary joy,,Emotional,,,Bought things I didn’t need for temporary happiness,Spent money that should have saved,Skipped,,,,,,
S09,S09,goal2,S09goal2,,circ1,Workout,Physical Activity,,circ1,S09goal2circ1,Medium term,,Tired,Internal - Feelings and thoughts,No,No,No,No,multiple months to a year,daily,Worn out and cause more anxious thoughts,,Emotional,,,Too tired to workout so I sit down or go to bed,Went to bed,Skipped,,,,,,
S09,S09,goal2,S09goal2,,circ2,Workout,Physical Activity,,circ2,S09goal2circ2,Medium term,,Lazy,Internal - Feelings and thoughts,No,No,No,No,longer than a year,daily,Putting on the pounds instead of taking them off,,No response,,,,Think about it but then dont,Skipped,,,,,,
S09,S09,goal2,S09goal2,,circ3,Workout,Physical Activity,,circ3,S09goal2circ3,Medium term,r11,Mom life,Caregiving,Yes,No,No,No,longer than a year,daily,My child becomes more important than my needs,,Emotional,,,Too busy and then too tired to make time,I try to fit in short walks but should be doing more,Changed time,,,,,,
