pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,cid,uniquecid,Goal scope,rep-id,Situation that occurred ,Duplicate?,notes- circumstance,barrier or event,circumstance,socio-ecological layer,socio_ecological,Repeating for another goal,Life Event?,Pre-existing?,how-long,notes,frequency,notes,,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal: how did circumstance affect your goal? (answer only if ,change- how did you change your goal in response to circumstance,Goal changes,notes,,,,,
S01,S01,goal2,S01goal2,,circ4,Quell fears,Mental health and wellbeing,circ4,S01goal2circ4,Aspirational,r3,Weather,No,,event-external,Storm coming,Psychosocial Factors,Living/Working,Yes,No,No,multiple days to a week,,daily,,,I feel stress by the upcoming storm,,Emotional,,,It's just one more worry I don't need,I changed plans and tried to prep the house on my own,Substituted activity,,,,,,
S01,S01,goal4,S01goal4,,circ4,Make my children proud of me,Social connection,circ4,S01goal4circ4,Aspirational,r3,Weather,Yes,,event-external,I am worried about the storm,Psychosocial Factors,Living/Working,Yes,No,No,multiple days to a week,,daily,,,Just another stress that I don't need,,Emotional,,,It distracts me from caring for their daily needs,I reached out to friends for advice to alleviate the pressure,Changed/ adopted support,,,,,,
S01,S01,goal4,S01goal4,,circ3,Make my children proud of me,Social connection,circ3,S01goal4circ3,Aspirational,,Work,No,could be changed,barrier-unconfident,I am feeling pressure that my work is lagging this week,Psychosocial Factors,Living/Working,No,No,No,longer than a year,"could be made up of smaller instances of recurring disruption, time scale of instance could be less than a week",daily,"probably not, more like weekly perhaps? ",recurring,Financial pressure to provide for the household,,Financial,Emotional,,"If I can't feed them, it is not a proud moment",I will never change that goal,No change,,,,,,
S02,S02,goal1,S02goal1,,circ4,strengthening friendships,Social connection,circ4,S02goal1circ4,Aspirational,,Internal - Feelings and thoughts,No,,barrier-unconfident,I was too tired to meet with friend,Behaviors and Biological Factors,Behavior/Biological,No,No,No,multiple months to a year,,monthly,,,feel guilty,,Emotional,,,,I realize that I need to rest to be a good friend,Changed thoughts or belief,,,,,,
S02,S02,goal1,S02goal1,,circ1,strengthening friendships,Social connection,circ1,S02goal1circ1,Aspirational,,Social interaction - other,No,,barrier,friend lives far away,Psychosocial Factors,Social/Community,No,No,Yes,longer than a year,,monthly,,,made me feel disconnected,,Emotional,,,,I accepted the fact that I will see this friend less and instead try to connect virtually,Changed thoughts or belief,,,,,,
S02,S02,goal1,S02goal1,"S02goal4, S02goal5",circ2,strengthening friendships,Social connection,circ2,S02goal1circ2,Aspirational,,Social interaction - other,No,,event-external,friend was too busy,Psychosocial Factors,Social/Community,No,No,No,multiple weeks to a month,,every other week,,,felt disappointed,,Emotional,,,,I wait for friend to have more time/ I think of friendships being long-term and eventually our schedules should line up,Changed thoughts or belief,,,,,,
S105,S113,goal1,S105goal1,,circ4,Becoming more healthy,Physical Activity,circ4,S105goal1circ4,Long term,,Finances,No,,barrier-unconfident,House repairs,Psychosocial Factors,Living/Working,No,No,No,multiple months to a year,,every 6 months,,,Spending an excessive amount of money,NA,Financial,,,Not able to attend gym,Cut back gym,Paused,,,,,,
S02,S02,goal4,S02goal4,,circ1,improving my diet,Nutrition,circ1,S02goal4circ1,Medium term,,Social interaction - other,No,,event-external,social outings requiring eating,Social and Community Networks,Social/Community,No,No,No,No response,,No response,,,,,No response,,,,,No response,,,,,,
S02,S02,goal5,S02goal5,,circ2,exercising more,Physical Activity,circ2,S02goal5circ2,Medium term,,Social interaction - other,Yes,,event-external,no time due to social obligations,Social and Community Networks,Social/Community,Yes,No,No,No response,,No response,,,,,No response,,,,,No response,,,,,,
S02,S02,goal1,S02goal1,,circ3,strengthening friendships,Social connection,circ3,S02goal1circ3,Aspirational,r4,Work,No,,event-external,I had too much homework,Living and Working Conditions,Living/Working,No,No,No,multiple months to a year,,weekly,,,increased stress,,Emotional,,,,I had to pause social outings,Paused,,,,,,
S02,S02,goal3,S02goal3,"S02goal1, S02goal5",circ1,taking classes to help with a career change,Work/Career,circ1,S02goal3circ1,Medium term,,Work,Yes,,barrier-unconfident,work schedule,Living and Working Conditions,Living/Working,Yes,No,No,No response,,No response,,,,,No response,,,,,No response,,,,,,
S02,S02,goal5,S02goal5,,circ3,exercising more,Physical Activity,circ3,S02goal5circ3,Medium term,r4,Work,Yes,,event-external,no time due to homework or work,Living and Working Conditions,Living/Working,Yes,No,No,No response,,No response,,,,,No response,,,,,No response,,,,,,
S03,S03,goal1,S03goal1,,circ1,Get my own place to live,Housing,circ1,S03goal1circ1,Long term,r5,Social interactions - negative,No,,event-external,I have no I.D and my friend didn’t show up with the money after they said they’d help me,Psychosocial Factors,Social/Community,No,No,No,multiple days to a week,,weekly,,,Just created more stress for me honestly.,,Emotional,,,Makes me feel like I can’t count on anyone,I haven’t I’m just working on getting the money to get my id,No change,,,,,,
S03,S03,goal2,S03goal2,,circ1,Get a car,Shopping,circ1,S03goal2circ1,Long term,r5,Social interactions - negative,Yes,,event-external,None of my friends actually have shown up to help me when they offered,Social and Community Networks,Social/Community,Yes,No,No,multiple days to a week,,weekly,,,Just stresses me out and makes me realize I can’t count on anyone but myself,,Emotional,,,"I’ve had a lot of people offer to help me, I didn’t ask them, they offered and why offer something if you have no intentions of following through with if",I’m just gonna rely on myself,Changed thoughts or belief,,,,,,
S04,S04,goal1,S04goal1,,circ4,Excercising,Physical Activity,circ3,S04goal1circ3,Medium term,,Sleep,No,,event-internal,waking up late,Psychosocial Factors,Behavior/Biological,No,No,No,multiple days to a week,,monthly,,,things were not properly done,,No response,,,my whole things were messed up,on days I woke up late I do not excercise,Skipped,,,,,,
S04,S04,goal2,S04goal2,,circ1,Meditating,Mental health and wellbeing,circ1,S04goal2circ1,Medium term,r6,Work,Yes,,not enough information,work,Living and Working Conditions,Living/Working,Yes,No,No,multiple days to a week,,monthly,,,became very fast/ not being time conscious,,Emotional,,,I became stressed,i lost track of time,Skipped,,,,,,
S04,S04,goal3,S04goal3,,circ2,Cooking,Nutrition,circ1,S04goal3circ1,Medium term,,Social interactions - negative,No,,event-external,colleague being rude,Psychosocial Factors,Social/Community,No,No,No,longer than a year,,every 6 months,,,feeling stressed/ feeling bad,,Emotional,,,feeling less motivated,find the right ingredients,Changed environment,,,,,,
S04,S04,goal1,S04goal1,,circ2,Excercising,Physical Activity,circ2,S04goal1circ2,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,stress/ laziness,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,every other week,,,Became dull,,Emotional,,,I became tired,I do it on days I do not feel stressed,Skipped,switched from rescheduled based on updated code definition,,,,,
S04,S04,goal1,S04goal1,,circ1,Excercising,Physical Activity,circ1,S04goal1circ1,Medium term,r6,Work,No,,not enough information,working,Living and Working Conditions,Living/Working,No,No,No,more than an hour to half a day,,weekly,,,making me time conscious/ I did things in a haste,,Emotional,,,stress from work,To get more time to commute to work,Skipped,,,,,,
S05,S05,goal1,S05goal1,,circ2,"get at a minimum of 10,000 steps a day",Physical Activity,circ2,S05goal1circ2,Medium term,,Pain,No,,event-internal,Another day my foot heart so i couldn't get the steps in that i needed,Psychosocial Factors,Behavior/Biological,No,No,No,more than half a day to a day,,monthly,,,"I couldnt walk, so i couldn't get my steps in",,Physical,,,,It just didn't happen that day,Skipped,,,,,,
S05,S05,goal1,S05goal1,,circ3,"get at a minimum of 10,000 steps a day",Physical Activity,circ3,S05goal1circ3,Medium term,,Entertainment,No,,event-internal,"I wanted to see a movie at the theater, so being i was watching a movie for three hours, i couldn't get my steps in",Psychosocial Factors,Behavior/Biological,No,No,No,more than an hour to half a day,,monthly,,,I was stressed that i didn't get my steps in and it made me feel lazy,,Emotional,,,,it just didn't get met that day,Skipped,,,,,,
S05,S05,goal1,S05goal1,,circ5,"get at a minimum of 10,000 steps a day",Physical Activity,circ5,S05goal1circ5,Medium term,,Travel,No,,event-internal,"I flew on an airplane for an 8 hour trip, so i didn't get my steps in",Psychosocial Factors,Living/Working,No,No,No,more than half a day to a day,,monthly,,,I just felt stressed i wasn;t going to reach my goal,,Emotional,,,,It just didn't happen,Skipped,,,,,,
S105,S113,goal1,S105goal1,,circ5,Becoming more healthy,Physical Activity,circ5,S105goal1circ5,Long term,,Finances,No,,barrier-unconfident,Car repairs,Psychosocial Factors,Living/Working,No,No,No,multiple weeks to a month,,every other week,,,NA,NA,No response,,,Paying for a car and not able to eat healthy,Car repairs took away from money for gym,Paused,,,,,,
S05,S05,goal3,S05goal3,,circ1,Get at least 7 hours of sleep in each night,Sleep,circ1,S05goal3circ1,Medium term,,Weather,No,,event-external,There was a thunderstorm that kept me up,Psychosocial Factors,Living/Working,No,No,No,more than half a day to a day,,monthly,,,I was sleepy the next day as i didnt get the sleep i needed.,,Emotional,,,,It just didn't happen,Skipped,,,,,,
S105,S113,goal2,S105goal2,,circ1,Financially stable,Financial Stability/Safety,circ1,S105goal2circ1,Long term,,Finances,Yes,,event-external,Unexpected house issues,Psychosocial Factors,Living/Working,No,No,No,multiple weeks to a month,,monthly,,,Causing stress,NA,Emotional,,,Too much money,I had house issues,Paused,,,,,,
S05,S05,goal5,S05goal5,,circ1,Get a puppy this year,Social connection,circ1,S05goal5circ1,Medium term,,Work,No,,barrier-unconfident,Timing just wasn't right,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,every 6 months,,,"I felt upset that i wouldn't get a puppy, but i just have too much going on",,Emotional,,,,,Abandoned,,,,,,
S05,S05,goal1,S05goal1,,circ4,"get at a minimum of 10,000 steps a day",Physical Activity,circ4,S05goal1circ4,Medium term,,Internal - Feelings and thoughts,No,,event-internal,"i just didn't feel good one day, so i took it easy and didn't get my steps in.",Psychosocial Factors,Psychosocial,No,No,No,more than half a day to a day,,monthly,,,"I felt like i needed to take it easy, so it stressed me out not being able to physically take the steps",,Emotional,,,,It just didn't happen,Skipped,,,,,,
S05,S05,goal1,S05goal1,,circ1,"get at a minimum of 10,000 steps a day",Physical Activity,circ1,S05goal1circ1,Medium term,,Work,No,,event-external,long hours at work prevented me from reaching my goal steps,Living and Working Conditions,Living/Working,No,Yes,No,multiple days to a week,,weekly,,,i had to sit at my desk and get my work done. It stressed me out that i wouldn't reach my goal that day,,Emotional,Logistical,,,It just didn't happen that day,Skipped,,,,,,
S109,S117,goal2,S109goal2,,circ2,Saving $150 a month,Financial Stability/Safety,circ2,S109goal2circ2,Medium term,r30,Finances,No,,event-external,Needed to fix ac in the car,Psychosocial Factors,Living/Working,Yes,No,No,multiple weeks to a month,,yearly or less,,,I was frustrated,Played a game to improve my mood,Emotional,,,It cost over $150,I spent money that I had saved to fix the ac,Skipped,,,,,,
S06,S06,goal2,S06goal2,,circ1,getting closer to my God,Mental health and wellbeing,circ1,S06goal2circ1,Aspirational,,Entertainment,No,,barrier-unconfident,social media,Social and Community Networks,Social/Community,No,No,No,multiple days to a week,,daily,,,it is un beneficial,,Emotional,,,it is a distraction,i started watching spiritual social media videos and made spiritual post,Changed environment,,,,,,
S109,S117,goal4,S109goal4,,circ1,Watch my daily stress levels,Mental health and wellbeing,circ1,S109goal4circ1,Medium term,r30,Transportation,Yes,,event-external,Having to fix the ac in the car,Psychosocial Factors,Living/Working,Yes,No,No,more than an hour to half a day,,yearly or less,,,I was frustrated and increased my anxiety,Na,Emotional,,,I was frustrated and increasingly stressed,I had to remind myself that I had money saved for an emergency like this,Changed thoughts or belief,,,,,,
S114,S122,goal2,S114goal2,,circ1,Save money to remodel our kitchen.,Housing,circ1,S114goal2circ1,Long term,,Finances,No,,event-external,I had to spend money on a part for our pool that I hadn't planned.,Psychosocial Factors,Living/Working,,No,No,multiple weeks to a month,,yearly or less,,,I was disappointed because it would take longer to afford our remodeling project.,NA,Emotional,Financial,,na,I had to use some money for our kitchen fund to pay for the part for our pool instead.,Paused,,,,,,
S128,S137,goal1,S128goal1,,circ1,Paying off credit card debt - Adding an extra $50 to each credit card every month,Financial Stability/Safety,circ1,S128goal1circ1,Medium term,,Finances,No,,event-external,Had to purchase a new refrigerator,Psychosocial Factors,Living/Working,,No,No,multiple months to a year,,yearly or less,,,I felt like I had failed because I wanted to quickly pay off debt and it increased my anxiety.,I did to work overtime on job so it would put me in a better mood so I can improve my situation.,Emotional,Logistical,,This disrupted my goal because I had to reduce my additional payment to $25.,I put $25 towards paying off my debt instead of $50.,Changed quantity,,,,,,
S06,S06,goal1,S06goal1,,circ3,advancing my knowledge at my work place,Work/Career,circ3,S06goal1circ3,Long term,,Internal - Feelings and thoughts,No,,barrier,lacking patience,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,daily,,,because it causes me to make irrational and impulsive decisions,,Emotional,,,because i begin to wonder if i should look for another job and not focus on the goal,i tried to just focus on the long term goal and just focus on the moment,No change,,,,,,
S06,S06,goal1,S06goal1,,circ4,advancing my knowledge at my work place,Work/Career,circ4,S06goal1circ4,Long term,,Internal - Feelings and thoughts,No,,barrier-unconfident,comparing my job to other possibilities,Living and Working Conditions,Psychosocial,No,No,No,multiple days to a week,,daily,,,"because it indeed can do nothing beneficial, just wondering",,Emotional,,,because it then distracts me from that goal,i again redirected my focus on what is presently in front of me,No change,,,,,,
S06,S06,goal1,S06goal1,,circ5,advancing my knowledge at my work place,Work/Career,circ5,S06goal1circ5,Long term,r9,Internal - Feelings and thoughts,No,,barrier,my ego,Psychosocial Factors,Psychosocial,Yes,No,Yes,multiple days to a week,,daily,,,because ego is the destructor of dreams,,Emotional,,,my ego is a distraction,i used my ego in a way that i could thrive off of it. saying i can manifefst this long term dream to be promoted at my job,Changed thoughts or belief,,,,,,
S06,S06,goal2,S06goal2,,circ3,getting closer to my God,Mental health and wellbeing,circ3,S06goal2circ3,Aspirational,,Internal - Feelings and thoughts,Yes,,barrier,instant gratification,Psychosocial Factors,Psychosocial,Yes,No,No,more than an hour to half a day,,daily,,,because most good things are worth waiting for,,Emotional,,,i would sacrifice my time doing other things other than in prayer,he is becoming the instant gratification,Changed thoughts or belief,,,,,,
S06,S06,goal4,S06goal4,,circ1,being empathetic,Social connection,circ1,S06goal4circ1,Aspirational,r9,Internal - Feelings and thoughts,Yes,,barrier,pride,Psychosocial Factors,Psychosocial,Yes,No,Yes,an hour or less,,daily,,,because it closes me off,,Emotional,,,,i had to realize that i cant be empathetic with too much pride,Changed thoughts or belief,,,,,,
S06,S06,goal2,S06goal2,,circ2,getting closer to my God,Mental health and wellbeing,circ2,S06goal2circ2,Aspirational,,Social interactions - negative,No,,barrier-unconfident,social pressure,Psychosocial Factors,Social/Community,No,No,No,multiple weeks to a month,,daily,,,i make poor decisions trying to please others,,Emotional,,,it draws me away from him,i had to eliminate some people from my life,Changed environment,,,,,,
S06,S06,goal1,S06goal1,,circ2,advancing my knowledge at my work place,Work/Career,circ2,S06goal1circ2,Long term,,Work,No,,barrier-unconfident,taking on too many things at once,Psychosocial Factors,Living/Working,No,No,No,more than half a day to a day,,daily,,,it caused me physical exhaustion,,Physical,,,because it was actually counter productive. i tried to do too much in all causing me to achieve less,made a priority list,Changed environment,,,,,,
S07,S07,goal1,S07goal1,,circ5,Losing weight,Weight management,circ5,S07goal1circ5,Long term,,Internal - Feelings and thoughts,No,,event-internal,My clothes fit too tight,Psychosocial Factors,Behavior/Biological,No,No,No,an hour or less,,weekly,,,I tried on a pair of pants that fit me a few weeks ago and they were way too tight. I attributed it to me having no discipline and felt really bad about myself.,,Emotional,,,After I started to feel bad about myself I wanted to eat more fatty foods to comfort myself.,I temporarily forgot about my goal and went back to bad eating habits.,Skipped,changed from paused based on coding definition,,,,,
S07,S07,goal1,S07goal1,,circ2,Losing weight,Weight management,circ2,S07goal1circ2,Long term,,Internal - Feelings and thoughts,No,,event-internal,I forgot to pack healthy lunch and got take out,Behaviors and Biological Factors,Psychosocial,No,No,No,an hour or less,,daily,,,"I meant to pack a salad for lunch at work, instead of went to McDonalds and ate a very fattening meal.",,Logistical,,,,My goal was pushed to the side while I consumed a lot more calories than I had planned to,Skipped,,,,,,
S07,S07,goal1,S07goal1,,circ1,Losing weight,Weight management,circ1,S07goal1circ1,Long term,,Social interaction - other,No,,event-external,My partner brought home pizza for dinner,Social and Community Networks,Social/Community,No,No,No,more than an hour to half a day,,daily,,,I was hoping to eat healthy food for dinner and when pizza was placed in front of me I ate a lot of pizza,,Emotional,,,,"I did not change my goal, but I was upset that I failed to eat healthy",Skipped,,,,,,
S07,S07,goal1,S07goal1,,circ3,Losing weight,Weight management,circ3,S07goal1circ3,Long term,,Social interaction - other,No,,event-external,Coworker brought in a huge box of donuts,Living and Working Conditions,Social/Community,No,No,No,an hour or less,,daily,,,Having donuts available to me made it hard for me to continue eating healthy,,Emotional,,,,"My goal remained the same, I had a small piece of donut and walked away",Skipped,,,,,,
S07,S07,goal1,S07goal1,,circ4,Losing weight,Weight management,circ4,S07goal1circ4,Long term,,Social interactions - negative,No,,event-external,Someone made fun of my weight and made me feel bad about myself,Psychosocial Factors,Psychosocial,No,No,No,more than an hour to half a day,,daily,,,My dad made a joke about how much weight I've gained recently and this really effected my mental health. It made me want to stop trying to better myself.,,Emotional,,,,I immediately went to get a snack because I felt lousy.,Skipped,,,,,,
S128,S137,goal1,S128goal1,,circ2,Paying off credit card debt - Adding an extra $50 to each credit card every month,Financial Stability/Safety,circ2,S128goal1circ2,Medium term,,Finances,No,,event-external,Had to purchase a new air condition system,Psychosocial Factors,Living/Working,,No,No,longer than a year,,yearly or less,,,"This left me feeling unmotivated, but I worked overtime so it would not be a complete stressor.",Worked overtime- approximate 2 hours a day,Emotional,Logistical,,This disrupted my goal by having to decrease the amount of paying extra on my credit card every month.,I reduced my goal to $25 and worked overtime to make additional monies.,Changed quantity,,,,,,
S08,S08,goal1,S08goal1,,circ5,save up enough money to move out,Housing,circ4,S08goal1circ4,Long term,,Entertainment,No,,barrier-unconfident,going out and spending money instead of saving it,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,monthly,,,didn't negatively impact,,No labor- positive disruption,,,,avoiding going out as much,Changed environment,,,,,,
S08,S08,goal2,S08goal2,,circ3,read more,Education/Learning,circ1,S08goal2circ1,Medium term,,Entertainment,No,,not enough information,being on my phone more often,Psychosocial Factors,Psychosocial,No,No,No,multiple months to a year,,monthly,,,stressed and overstimulated,,Emotional,,,,limiting phone time,Other,,,,,,
S139,S148,goal2,S139goal2,,circ1,Saving money,Financial Stability/Safety,circ1,S139goal2circ1,Medium term,,Transportation,No,,event-external,car repair,Psychosocial Factors,Living/Working,,No,No,multiple weeks to a month,,yearly or less,,,"The car had a dent in it, and the paint was off.na",na,Financial,,,"The money used to repair the car, was money for savings.",The car was damaged going in the back yard hitting the fence.,Skipped,,,,,,
S08,S08,goal2,S08goal2,,circ5,read more,Education/Learning,circ3,S08goal2circ3,Medium term,,Internal - Feelings and thoughts,No,seems motivational/ mental health,barrier,being in a reading slump,Psychosocial Factors,Psychosocial,No,No,Yes,multiple months to a year,,monthly,,,sad,,Emotional,,,,trying to change up the books i read,Substituted activity,,,,,,
S08,S08,goal3,S08goal3,,circ4,graduate college,Education/Learning,circ3,S08goal3circ3,Medium term,,Internal - Feelings and thoughts,Yes,,barrier,mental health issues,Behaviors and Biological Factors,Psychosocial,No,No,Yes,multiple months to a year,,monthly,,,depressed and anxious,,Emotional,,,,going to therapy,Changed/ adopted support,,,,,,
S08,S08,goal4,S08goal4,,circ4,drink more water,Nutrition,circ3,S08goal4circ3,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,wanting cold water but the water is warm,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,every other week,,,n/a,,No response,,,,making sure to put ice in my drink,Changed environment,,,,,,
S08,S08,goal5,S08goal5,,circ5,spend less time on social media,Screentime management,circ2,S08goal5circ2,Medium term,,Internal - Feelings and thoughts,Yes,lack of motivation to change,barrier,boredom leading to wanting to use it,Psychosocial Factors,Psychosocial,No,No,No,multiple months to a year,,monthly,,,anxious,,Emotional,,,,finding other ways to satisfy boredom,Substituted activity,,,,,,
S08,S08,goal4,S08goal4,,circ1,drink more water,Nutrition,circ1,S08goal4circ1,Medium term,,Internal - Feelings and thoughts,No,,event-internal,forgetting to,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,weekly,,,anxious,,Emotional,,,,setting reminders,Changed environment,,,,,,
S08,S08,goal4,S08goal4,,circ2,drink more water,Nutrition,circ2,S08goal4circ2,Medium term,,Internal - Feelings and thoughts,Yes,,barrier,laziness/ unmotivated,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,weekly,,,depressed,,Emotional,,,,telling myself the benefits of it,Changed thoughts or belief,,,,,,
S09,S09,goal2,S09goal2,,circ3,Workout,Physical Activity,circ3,S09goal2circ3,Medium term,r11,Caregiving,No,parenting responsibilities,barrier-unconfident,Mom life,Social and Community Networks,Social/Community,Yes,No,No,longer than a year,"assuming circumstance is caretaking responsibilities, not referring to a single responsibility as such, single instance of big disruption, time scale of years or months depending on social care",daily,not okay,non-recurring,My child becomes more important than my needs,,Emotional,,,Too busy and then too tired to make time,I try to fit in short walks but should be doing more,Substituted activity,,,,,,
S09,S09,goal3,S09goal3,,circ2,Bring in some money,Financial Stability/Safety,circ1,S09goal3circ1,Long term,r11,Caregiving,Yes,parenting responsibilities,barrier-unconfident,Mom life,Social and Community Networks,Social/Community,Yes,No,No,longer than a year,"assuming circumstance is caretaking responsibilities, not referring to a single instance, time scale of years or months depending on social care",daily,not okay,non-recurring,Guilty. Not doing enough with my child and not doing enough to bring in money,,Emotional,,,Too busy and no one to watch my kid,Changing my time expectations of when I can work,Changed thoughts or belief,,,,,,
S09,S09,goal1,S09goal1,,circ1,Save for bigger house,Housing,circ1,S09goal1circ1,Long term,,Social interaction - other,No,,event-internal,Buying gifts,Psychosocial Factors,Psychosocial,No,No,No,longer than a year,,monthly,,,Felt pressured to spend on family and friends but know we have to be saving our money,,Emotional,,,,Spent less on the gift and knew it still took away from out house,Changed quantity,,,,,,
